City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
197,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,
201,Macapa,BR,76.98,moderate rain,0.0389,-51.0664,
204,Cabo San Lucas,MX,79.61,few clouds,22.8909,-109.9124,
205,Kahului,US,82.42,few clouds,20.8947,-156.47,
208,Vredendal,ZA,75.76,overcast clouds,-31.6683,18.5012,
215,Hambantota,LK,75.54,clear sky,6.1241,81.1185,
219,Bowen,AU,80.67,scattered clouds,-20.0167,148.2333,
220,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,
223,Ternate,ID,79.47,overcast clouds,0.8,127.4,
226,Bengkulu,ID,75.72,heavy intensity rain,-3.8004,102.2655,
229,Mudbidri,IN,76.62,mist,13.0833,74.9833,
231,Wajir,KE,82.99,scattered clouds,1.7471,40.0573,
237,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
255,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,
257,Adrar,MR,75.31,overcast clouds,20.5022,-10.0711,
258,Kirakira,SB,83.25,light rain,-10.4544,161.9205,
259,San Pedro,PH,77.32,broken clouds,14.35,121.0167,
261,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,
267,Mabaruma,GY,76.46,scattered clouds,8.2,-59.7833,
269,Alyangula,AU,82.6,overcast clouds,-13.8483,136.4192,
272,Lethem,GY,89.19,broken clouds,3.3803,-59.7968,
274,Buala,SB,82.51,light rain,-8.145,159.5921,
276,Saraza,PH,77.79,few clouds,8.7356,117.78,
278,Puro,PH,78.21,few clouds,12.4841,123.3827,
283,Mahajanga,MG,79.66,light rain,-15.7167,46.3167,
284,Port-Gentil,GA,81.23,overcast clouds,-0.7193,8.7815,
290,Orange,US,78.33,clear sky,33.7,-117.7675,
293,The Valley,AI,78.66,clear sky,18.217,-63.0578,
298,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,
300,Bajil,YE,75.79,clear sky,15.0584,43.2851,
305,Carauari,BR,79.07,overcast clouds,-4.8828,-66.8958,
308,Fria,GN,75.22,few clouds,10.4167,-13.5833,
311,Nioro,GM,85.87,broken clouds,13.35,-15.75,
314,Bubaque,GW,78.21,scattered clouds,11.2833,-15.8333,
320,Sokoni,TZ,79.97,overcast clouds,-6.4333,39.55,
331,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,
332,Lorengau,PG,78.69,overcast clouds,-2.0226,147.2712,
336,Puerto Quijarro,BO,75.79,overcast clouds,-17.7833,-57.7667,
338,Abasolo,MX,77.74,clear sky,20.45,-101.5167,
343,Byron Bay,AU,79.88,broken clouds,-28.65,153.6167,
352,Atar,MR,79.79,overcast clouds,20.5169,-13.0499,
355,Santa Fe,AR,89.98,clear sky,-31.6333,-60.7,
361,Eirunepe,BR,84.09,overcast clouds,-6.6603,-69.8736,
363,Mitu,CO,85.01,few clouds,1.1983,-70.1733,
366,Morondava,MG,81.66,few clouds,-20.2833,44.2833,
371,Sena Madureira,BR,81.01,broken clouds,-9.0656,-68.6569,
374,Caravelas,BR,79.61,few clouds,-17.7125,-39.2481,
379,Kendari,ID,76.21,light rain,-3.945,122.4989,
380,Quibor,VE,80.42,broken clouds,9.9287,-69.6201,
384,Kupang,ID,81.18,broken clouds,-10.1667,123.5833,
399,Luwuk,ID,76.87,overcast clouds,-0.9516,122.7875,
402,Howard Springs,AU,84.11,broken clouds,-12.497,131.047,
407,Dhidhdhoo,MV,81.27,scattered clouds,6.8833,73.1,
409,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,
415,Bairiki,KI,86.0,light rain,1.3292,172.9752,
421,Sibu,MY,75.51,light rain,2.3,111.8167,
427,Oranjestad,AW,78.64,clear sky,12.524,-70.027,
429,Broken Hill,AU,77.14,light rain,-31.95,141.4333,
435,Kochi,IN,75.18,clear sky,9.9399,76.2602,
437,Gold Coast,AU,82.78,scattered clouds,-28.0,153.4333,
438,Kourou,GF,77.05,few clouds,5.1552,-52.6478,
441,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,
443,Guia Lopes Da Laguna,BR,83.86,broken clouds,-21.4578,-56.1142,
445,Mitsamiouli,KM,80.51,clear sky,-11.3847,43.2844,
447,Urucara,BR,77.34,overcast clouds,-2.5364,-57.76,
450,Charters Towers,AU,77.54,clear sky,-20.1,146.2667,
452,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,
