City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Vanavara,RU,2022-01-29 21:16:31,60.34,102.2797,-6.39,99,100,2.89
214,Arraial Do Cabo,BR,2022-01-29 21:17:27,-22.9661,-42.0278,75.16,83,75,9.22
215,Urdoma,RU,2022-01-29 21:13:13,61.7533,48.5442,15.48,94,100,7.29
216,Gawler,AU,2022-01-29 21:17:28,-34.6,138.7333,71.51,74,0,6.31
217,Isangel,VU,2022-01-29 21:16:54,-19.55,169.2667,80.17,88,100,15.5
218,Karratha,AU,2022-01-29 21:17:29,-20.7377,116.8463,80.83,62,75,14.7
219,Balashov,RU,2022-01-29 21:17:29,51.5502,43.1667,27.52,98,100,5.64
220,Choma,ZM,2022-01-29 21:17:30,-16.8065,26.9531,65.21,96,100,1.97
221,Paka,MY,2022-01-29 21:17:30,4.6374,103.4368,71.53,100,51,1.14
222,Fuyu,CN,2022-01-29 21:17:31,45.1833,124.8167,-5.51,93,5,4.29
223,Puerto Escondido,MX,2022-01-29 21:17:31,15.85,-97.0667,83.23,65,20,9.22
224,Thompson,CA,2022-01-29 21:17:31,55.7435,-97.8558,-0.24,71,40,4.61
225,Ahipara,NZ,2022-01-29 21:17:32,-35.1667,173.1667,68.52,63,65,8.95
226,Lebu,CL,2022-01-29 21:17:32,-37.6167,-73.65,64.4,76,2,10.96
227,Nanortalik,GL,2022-01-29 21:16:12,60.1432,-45.2371,19.78,65,100,12.53
228,Lavrentiya,RU,2022-01-29 21:17:33,65.5833,-171.0,-3.82,83,3,4.07
229,Provideniya,RU,2022-01-29 21:18:33,64.3833,-173.3,2.66,86,4,5.01
230,Tilichiki,RU,2022-01-29 21:18:34,60.4667,166.1,18.82,71,100,14.54
231,Lagoa,PT,2022-01-29 21:14:36,39.05,-27.9833,58.5,73,77,13.76
232,Palana,RU,2022-01-29 21:18:35,59.1167,159.9667,20.62,75,59,11.97
233,Vanimo,PG,2022-01-29 21:18:35,-2.6741,141.3028,76.08,89,100,7.49
234,Perevoz,RU,2022-01-29 21:18:35,55.5961,44.5446,17.53,97,100,3.62
235,Billings,US,2022-01-29 21:18:36,45.7833,-108.5007,55.17,13,75,17.27
236,Nishihara,JP,2022-01-29 21:18:36,26.1842,127.7558,61.88,94,100,9.22
237,Ladovskaya Balka,RU,2022-01-29 21:18:37,45.6297,41.4023,34.05,95,100,13.53
238,Ugoofaaru,MV,2022-01-29 21:18:37,5.6667,73.0,82.11,71,69,15.84
239,Yacuiba,BO,2022-01-29 21:18:37,-22.038,-63.6797,84.43,39,7,8.05
240,Oranjemund,NA,2022-01-29 21:18:38,-28.55,16.4333,65.75,85,79,12.86
241,Juneau,US,2022-01-29 21:15:12,58.3019,-134.4197,41.22,89,100,0.0
242,Liepaja,LV,2022-01-29 21:18:38,56.5419,21.0367,42.85,87,100,33.38
243,Baruun-Urt,MN,2022-01-29 21:18:39,46.6806,113.2792,-8.36,88,16,2.33
244,Mackay,AU,2022-01-29 21:16:02,-21.15,149.2,76.68,79,23,12.44
245,Labuhan,ID,2022-01-29 21:14:23,-6.8844,112.2051,78.21,86,100,6.31
246,Cherskiy,RU,2022-01-29 21:18:40,68.75,161.3,-29.11,100,43,1.95
247,Lhokseumawe,ID,2022-01-29 21:18:40,5.1801,97.1507,77.04,86,77,4.56
248,Shcheglovo,RU,2022-01-29 21:18:41,60.0284,30.7529,27.39,78,100,14.58
249,Comodoro Rivadavia,AR,2022-01-29 21:18:41,-45.8667,-67.5,87.66,8,0,19.57
250,Lodja,CD,2022-01-29 21:18:41,-3.4833,23.4333,73.02,74,76,0.67
251,Hofn,IS,2022-01-29 21:18:42,64.2539,-15.2082,29.08,54,16,6.24
252,Inirida,CO,2022-01-29 21:18:42,3.8653,-67.9239,90.91,39,94,2.37
253,Bubaque,GW,2022-01-29 21:17:11,11.2833,-15.8333,78.44,72,92,21.16
254,Hashtrud,IR,2022-01-29 21:18:43,37.4779,47.0508,3.58,98,54,1.52
255,Lazaro Cardenas,MX,2022-01-29 21:18:43,17.9583,-102.2,83.53,58,0,9.26
256,Le Port,RE,2022-01-29 21:18:44,-20.9373,55.2919,75.2,83,88,2.08
257,Constitucion,CL,2022-01-29 21:15:50,-35.3333,-72.4167,65.12,74,51,10.33
258,Bilma,NE,2022-01-29 21:18:45,18.6853,12.9164,61.03,18,1,10.92
259,Luderitz,NA,2022-01-29 21:18:45,-26.6481,15.1594,67.57,80,73,8.81
260,Biak,ID,2022-01-29 21:18:34,-0.9131,122.8766,76.35,79,98,3.31
261,Qinhuangdao,CN,2022-01-29 21:18:46,39.9317,119.5883,22.64,42,0,3.89
262,Evensk,RU,2022-01-29 21:18:47,61.95,159.2333,15.4,80,100,11.39
263,Kodiak,US,2022-01-29 21:18:47,57.79,-152.4072,35.11,55,0,24.16
264,Xining,CN,2022-01-29 21:18:47,36.6167,101.7667,10.31,61,13,1.81
265,Contamana,PE,2022-01-29 21:18:48,-7.3333,-75.0167,92.5,43,100,7.81
266,Healdsburg,US,2022-01-29 21:13:51,38.6105,-122.8692,68.9,47,0,0.0
267,Nagato,JP,2022-01-29 21:18:48,34.3833,131.2,39.11,56,100,7.2
268,Ozinki,RU,2022-01-29 21:18:49,51.1786,49.6769,30.25,98,100,12.3
269,Escarcega,MX,2022-01-29 21:18:50,18.6089,-90.7454,73.47,52,100,5.5
270,Impfondo,CG,2022-01-29 21:18:50,1.6381,18.0667,75.85,31,36,2.01
271,Kenai,US,2022-01-29 21:18:51,60.5544,-151.2583,23.09,95,100,3.44
272,Abu Samrah,SY,2022-01-29 21:18:51,35.3029,37.1841,40.19,81,77,6.85
273,Bahia Honda,CU,2022-01-29 21:18:51,22.9036,-83.1592,66.7,54,94,15.86
274,Bambanglipuro,ID,2022-01-29 21:18:52,-7.95,110.2833,77.38,87,100,3.98
275,Ternate,ID,2022-01-29 21:19:52,0.8,127.4,78.91,84,96,6.06
276,Raga,SS,2022-01-29 21:19:53,8.4596,25.678,68.07,18,85,4.41
277,Lompoc,US,2022-01-29 21:19:14,34.6391,-120.4579,68.18,39,0,4.61
278,Iki-Burul,RU,2022-01-29 21:19:54,45.8208,44.6472,34.14,86,97,7.05
279,Prabumulih,ID,2022-01-29 21:19:54,-3.45,104.25,73.27,98,100,1.14
280,Kahului,US,2022-01-29 21:19:52,20.8947,-156.47,80.62,54,40,16.11
281,Beni Mazar,EG,2022-01-29 21:19:55,28.4962,30.8029,50.0,53,1,5.1
282,Boyolangu,ID,2022-01-29 21:18:10,-8.1181,111.8935,76.33,91,100,1.66
283,Ajdabiya,LY,2022-01-29 21:19:56,30.7554,20.2263,56.26,54,48,20.62
284,Esperance,AU,2022-01-29 21:19:56,-33.8667,121.9,64.85,79,0,12.26
285,Saint Stephen,GB,2022-01-29 21:16:02,50.3333,-4.9,48.15,88,63,8.23
286,Odienne,CI,2022-01-29 21:15:39,9.51,-7.5692,80.49,17,72,4.79
287,Sur,OM,2022-01-29 21:17:59,22.5667,59.5289,71.15,54,3,5.46
288,Chegdomyn,RU,2022-01-29 21:19:57,51.1167,133.0167,-32.49,100,100,1.45
