City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
125,Hasaki,JP,2022-01-30 22:02:49,35.7333,140.8333,30.6,48,100,16.82,overcast clouds
126,Tuktoyaktuk,CA,2022-01-30 22:06:49,69.4541,-133.0374,-4.22,96,100,17.13,overcast clouds
127,Saint George,US,2022-01-30 22:02:51,37.1041,-113.5841,60.44,17,0,1.01,clear sky
128,Barabai,ID,2022-01-30 22:07:01,-2.5833,115.3833,73.8,92,99,1.28,overcast clouds
129,Bandarbeyla,SO,2022-01-30 22:03:52,9.4942,50.8122,75.54,76,96,15.9,overcast clouds
130,Greytown,ZA,2022-01-30 22:07:02,-29.0642,30.5928,61.57,92,100,1.99,overcast clouds
131,Hargeysa,SO,2022-01-30 22:05:18,9.56,44.065,53.69,87,11,11.1,few clouds
132,Tautira,PF,2022-01-30 22:07:03,-17.7333,-149.15,84.0,75,94,11.48,overcast clouds
133,Ulaanbaatar,MN,2022-01-30 22:07:03,47.9077,106.8832,-21.87,76,0,4.47,clear sky
134,Umm Lajj,SA,2022-01-30 22:07:04,25.0213,37.2685,64.65,60,87,9.28,overcast clouds
135,Trelew,AR,2022-01-30 22:07:04,-43.249,-65.3051,61.88,32,78,15.1,broken clouds
136,Praia,CV,2022-01-30 22:05:07,14.9215,-23.5087,70.34,68,75,20.71,broken clouds
137,Aklavik,CA,2022-01-30 22:07:05,68.2191,-135.0107,0.3,97,100,4.54,overcast clouds
138,Port Macquarie,AU,2022-01-30 22:07:05,-31.4333,152.9167,77.9,77,8,4.59,clear sky
139,Juba,SS,2022-01-30 22:08:06,4.8517,31.5825,79.18,24,44,3.69,scattered clouds
140,Poum,NC,2022-01-30 22:06:34,-20.2333,164.0167,80.26,75,97,8.97,overcast clouds
141,Pirapora,BR,2022-01-30 22:08:06,-17.345,-44.9419,76.71,73,96,3.49,overcast clouds
142,Santiago Del Estero,AR,2022-01-30 22:08:07,-27.7951,-64.2615,93.94,26,3,4.03,clear sky
143,Pospelikha,RU,2022-01-30 22:08:07,51.95,81.7667,10.94,89,75,6.89,broken clouds
144,Calabozo,VE,2022-01-30 22:08:08,8.9242,-67.4293,92.1,20,19,8.81,few clouds
145,Umm Kaddadah,SD,2022-01-30 22:08:08,13.6017,26.6876,57.42,17,0,14.43,clear sky
146,Luderitz,NA,2022-01-30 22:08:08,-26.6481,15.1594,64.98,87,75,8.39,broken clouds
147,Taoudenni,ML,2022-01-30 22:07:11,22.6783,-3.9836,73.31,14,87,15.61,overcast clouds
148,Krian,ID,2022-01-30 22:08:09,-7.4104,112.5792,76.82,91,100,5.1,overcast clouds
149,Asau,RO,2022-01-30 22:08:10,46.4333,26.4,40.39,67,99,18.52,overcast clouds
150,Saint-Pierre,RE,2022-01-30 22:06:11,-21.3393,55.4781,78.48,73,11,11.5,few clouds
151,Bombay,IN,2022-01-30 22:07:27,19.0144,72.8479,71.58,60,0,0.0,smoke
152,La Ronge,CA,2022-01-30 22:08:11,55.1001,-105.2842,14.61,93,99,3.85,overcast clouds
153,Kharan,PK,2022-01-30 22:08:11,28.5833,65.4167,59.02,38,0,6.24,clear sky
154,Wegorzewo,PL,2022-01-30 22:08:12,54.2157,21.7372,29.73,91,100,27.85,light snow
155,Kosh-Agach,RU,2022-01-30 22:08:12,50.0,88.6667,-23.26,81,50,2.73,scattered clouds
156,Srednekolymsk,RU,2022-01-30 22:08:12,67.45,153.6833,-27.63,100,100,3.69,overcast clouds
157,Cumberland,US,2022-01-30 22:08:13,35.0502,-78.8664,48.63,32,0,1.99,clear sky
158,Khatanga,RU,2022-01-30 22:04:49,71.9667,102.5,-5.91,98,99,9.71,overcast clouds
159,Hermanus,ZA,2022-01-30 22:05:52,-34.4187,19.2345,71.91,86,97,12.95,overcast clouds
160,Mormugao,IN,2022-01-30 22:08:14,15.4,73.8,72.9,65,11,8.52,few clouds
161,Namatanai,PG,2022-01-30 22:08:14,-3.6667,152.4333,81.3,77,100,3.29,overcast clouds
162,Petropavl,KZ,2022-01-30 22:08:15,54.8753,69.1628,9.46,95,100,8.12,light snow
163,Tiksi,RU,2022-01-30 22:08:15,71.6872,128.8694,-18.11,100,96,4.45,overcast clouds
164,Hobart,AU,2022-01-30 22:07:35,-42.8794,147.3294,69.12,79,20,6.91,few clouds
165,Georgetown,MY,2022-01-30 22:03:46,5.4112,100.3354,80.89,86,20,0.0,few clouds
166,Torbay,CA,2022-01-30 22:06:56,47.6666,-52.7314,39.38,82,100,7.0,overcast clouds
167,Elmina,GH,2022-01-30 22:08:16,5.0898,-1.348,78.64,81,96,6.62,overcast clouds
168,Alofi,NU,2022-01-30 22:08:16,-19.0595,-169.9187,73.87,87,100,8.57,moderate rain
169,Yarega,RU,2022-01-30 22:08:17,63.4354,53.5765,-2.09,99,100,2.33,overcast clouds
170,Nicoya,CR,2022-01-30 22:08:18,10.1483,-85.452,83.75,46,26,15.9,scattered clouds
171,Mantua,IT,2022-01-30 22:08:18,45.1667,10.7833,44.28,77,0,6.08,clear sky
172,Glens Falls,US,2022-01-30 22:08:18,43.3095,-73.644,20.59,42,0,1.01,clear sky
173,Vostok,RU,2022-01-30 22:08:19,46.4856,135.8833,-21.87,99,66,3.49,broken clouds
174,Bilibino,RU,2022-01-30 22:06:45,68.0546,166.4372,-12.64,96,75,5.12,broken clouds
175,Pemberton,CA,2022-01-30 22:08:20,50.3164,-122.8027,43.68,99,100,5.03,overcast clouds
176,Pisco,PE,2022-01-30 22:08:20,-13.7,-76.2167,73.45,68,75,4.61,broken clouds
177,Itai,BR,2022-01-30 22:08:20,-23.4178,-49.0906,66.27,98,100,9.1,overcast clouds
178,Sao Joao Da Barra,BR,2022-01-30 22:08:21,-21.6403,-41.0511,76.77,89,9,9.26,clear sky
179,Sal Rei,CV,2022-01-30 22:08:21,16.1833,-22.9167,68.56,74,100,22.57,overcast clouds
180,Nome,US,2022-01-30 22:06:34,64.5011,-165.4064,-4.85,77,0,0.0,clear sky
181,Chuy,UY,2022-01-30 22:06:43,-33.6971,-53.4616,73.56,68,20,14.29,few clouds
182,Shimoda,JP,2022-01-30 22:08:22,34.6667,138.95,35.1,66,99,8.84,overcast clouds
183,Mocuba,MZ,2022-01-30 22:08:23,-16.8392,36.9856,70.95,98,11,0.56,few clouds
184,Karagay,RU,2022-01-30 22:09:23,58.2667,54.9368,1.33,100,96,3.15,overcast clouds
185,Agirish,RU,2022-01-30 22:09:23,61.9247,63.0231,-8.37,100,99,2.15,overcast clouds
186,North Battleford,CA,2022-01-30 22:09:24,52.7834,-108.2847,27.41,92,22,3.33,few clouds
187,Barcelona,ES,2022-01-30 22:07:28,41.3888,2.159,57.69,42,0,1.99,clear sky
188,Lompoc,US,2022-01-30 22:04:48,34.6391,-120.4579,75.02,42,0,19.57,clear sky
189,Pangnirtung,CA,2022-01-30 22:06:53,66.1451,-65.7125,-21.03,84,94,5.77,overcast clouds
190,Nikolskoye,RU,2022-01-30 22:09:05,59.7035,30.7861,27.39,96,100,6.24,snow
191,Namibe,AO,2022-01-30 22:07:37,-15.1961,12.1522,73.26,71,100,5.23,overcast clouds
192,Coahuayana,MX,2022-01-30 22:04:56,18.7333,-103.6833,90.88,30,0,7.0,clear sky
193,Tucuma,BR,2022-01-30 22:09:25,-0.1833,-50.05,75.36,91,89,6.38,overcast clouds
194,Viedma,AR,2022-01-30 22:09:26,-40.8135,-62.9967,69.15,18,64,20.69,broken clouds
195,Yulara,AU,2022-01-30 22:09:26,-25.2406,130.9889,74.82,81,100,17.81,overcast clouds
196,Ixtapa,MX,2022-01-30 22:09:27,20.7,-105.2,76.23,73,0,12.66,clear sky
197,Souillac,MU,2022-01-30 22:09:27,-20.5167,57.5167,79.18,94,75,11.5,light intensity shower rain
198,Rzeszow,PL,2022-01-30 22:09:28,50.0413,21.999,37.33,90,75,10.0,broken clouds
199,Broome,US,2022-01-30 22:04:56,42.2506,-75.833,19.98,66,75,6.91,broken clouds
200,Pevek,RU,2022-01-30 22:09:29,69.7008,170.3133,-13.88,96,99,1.99,overcast clouds
201,Macapa,BR,2022-01-30 22:09:29,0.0389,-51.0664,76.98,94,100,9.22,moderate rain
202,Homer,US,2022-01-30 22:09:30,59.6425,-151.5483,24.67,85,75,4.61,broken clouds
203,Faizpur,IN,2022-01-30 22:09:30,21.1667,75.85,64.49,29,3,2.55,clear sky
204,Cabo San Lucas,MX,2022-01-30 22:04:51,22.8909,-109.9124,79.61,60,20,1.99,few clouds
205,Kahului,US,2022-01-30 22:09:31,20.8947,-156.47,82.42,59,20,18.41,few clouds
206,Crotone,IT,2022-01-30 22:09:31,39.0851,17.1178,48.87,60,0,4.45,clear sky
207,Kodiak,US,2022-01-30 22:09:31,57.79,-152.4072,26.11,68,0,13.8,clear sky
208,Vredendal,ZA,2022-01-30 22:09:32,-31.6683,18.5012,75.76,52,97,3.69,overcast clouds
209,Arlit,NE,2022-01-30 22:09:32,18.7369,7.3853,65.23,14,1,16.04,clear sky
210,Along,IN,2022-01-30 22:09:33,28.1667,94.7667,43.92,80,13,1.34,few clouds
211,Saint-Augustin,CA,2022-01-30 22:09:33,51.226,-58.6502,17.67,88,99,32.17,overcast clouds
212,Fort Walton Beach,US,2022-01-30 22:07:35,30.4058,-86.6188,61.66,50,0,13.0,clear sky
213,Richards Bay,ZA,2022-01-30 22:05:07,-28.783,32.0377,71.04,87,98,5.73,overcast clouds
214,Huangchuan,CN,2022-01-30 22:09:34,32.1272,115.0394,35.92,82,100,4.59,overcast clouds
215,Hambantota,LK,2022-01-30 22:09:34,6.1241,81.1185,75.54,100,0,2.3,clear sky
216,Valparaiso,CL,2022-01-30 22:09:35,-33.0393,-71.6273,73.63,65,0,9.22,clear sky
217,Chulumani,BO,2022-01-30 22:09:35,-16.4096,-67.5263,69.37,87,90,2.15,overcast clouds
218,Texarkana,US,2022-01-30 22:09:36,33.4251,-94.0477,70.02,18,0,5.99,clear sky
219,Bowen,AU,2022-01-30 22:09:36,-20.0167,148.2333,80.67,79,44,8.52,scattered clouds
220,Kavieng,PG,2022-01-30 22:09:37,-2.5744,150.7967,81.64,75,89,2.28,overcast clouds
221,Tinskoy,RU,2022-01-30 22:09:37,56.1525,96.9161,-6.23,100,99,1.5,overcast clouds
222,Ahipara,NZ,2022-01-30 22:09:37,-35.1667,173.1667,74.28,56,97,13.11,overcast clouds
223,Ternate,ID,2022-01-30 22:08:43,0.8,127.4,79.47,78,99,10.22,overcast clouds
224,Aksay,RU,2022-01-30 22:09:38,47.26,39.87,35.82,92,100,11.01,overcast clouds
225,Puerto Del Rosario,ES,2022-01-30 22:09:38,28.5004,-13.8627,65.88,63,0,10.36,haze
226,Bengkulu,ID,2022-01-30 22:07:26,-3.8004,102.2655,75.72,89,100,3.8,heavy intensity rain
227,Tasiilaq,GL,2022-01-30 22:09:12,65.6145,-37.6368,8.76,50,96,12.75,overcast clouds
228,Obo,CF,2022-01-30 22:10:39,5.3998,26.4869,70.0,24,98,5.57,overcast clouds
229,Mudbidri,IN,2022-01-30 22:09:09,13.0833,74.9833,76.62,78,1,0.0,mist
230,Puteyets,RU,2022-01-30 22:10:40,65.1716,57.091,12.07,92,100,7.36,overcast clouds
231,Wajir,KE,2022-01-30 22:10:40,1.7471,40.0573,82.99,30,47,10.0,scattered clouds
232,Mount Isa,AU,2022-01-30 22:08:23,-20.7333,139.5,74.97,100,75,5.75,broken clouds
233,Rock Sound,BS,2022-01-30 22:08:45,24.9,-76.2,65.79,65,97,14.63,overcast clouds
234,Lagoa,PT,2022-01-30 22:09:23,39.05,-27.9833,58.53,70,50,26.51,scattered clouds
235,Napier,NZ,2022-01-30 22:08:54,-39.4833,176.9167,69.28,70,100,1.99,overcast clouds
236,Kerman,IR,2022-01-30 22:10:42,30.2832,57.0788,47.41,48,79,3.13,broken clouds
237,Saint-Georges,GD,2022-01-30 22:10:42,12.0564,-61.7485,80.28,74,20,13.8,few clouds
238,Kutum,SD,2022-01-30 22:10:42,14.2,24.6667,54.5,17,1,13.8,clear sky
239,Camacha,PT,2022-01-30 22:09:23,33.0833,-16.3333,61.56,88,20,16.11,few clouds
240,Jaciara,BR,2022-01-30 22:10:43,-15.9653,-54.9683,72.57,94,100,3.15,moderate rain
241,Port-Cartier,CA,2022-01-30 22:10:44,50.0334,-66.8654,9.75,76,82,10.85,broken clouds
242,Comodoro Rivadavia,AR,2022-01-30 22:10:44,-45.8667,-67.5,60.66,33,40,8.05,scattered clouds
243,Kuytun,RU,2022-01-30 22:10:45,54.3419,101.5036,-5.91,98,100,2.68,overcast clouds
244,Anadyr,RU,2022-01-30 22:10:45,64.75,177.4833,-15.52,83,20,6.71,fog
245,Skibbereen,IE,2022-01-30 22:10:45,51.55,-9.2667,46.2,76,94,16.82,overcast clouds
246,Cockburn Town,TC,2022-01-30 22:09:00,21.4612,-71.1419,74.79,74,91,20.89,overcast clouds
247,Waterloo,CA,2022-01-30 22:09:45,43.4668,-80.5164,20.62,90,71,3.4,broken clouds
